Linux 4.9.184-linuxkit (ebd7455b628a) 	02/03/20 	_x86_64_	(2 CPU)

08:51:41    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
08:51:42      1175852    871156     42.56      8804    514452   2692172     86.97    414628    338568        12
08:51:43      1175852    871156     42.56      8804    514452   2692172     86.97    414628    338568        12
08:51:44      1139480    907528     44.33      8804    514452   2956004     95.49    451252    338568        12
08:51:45       993372   1053636     51.47      8804    514452   2956004     95.49    595328    338572        12
08:51:46      1017232   1029776     50.31      8804    514452   2956004     95.49    573404    338572        12
08:51:47      1088348    958660     46.83      8812    514448   2956004     95.49    499416    338572        12
08:51:48      1073404    973604     47.56      8812    514452   2956004     95.49    517152    338572        16
08:51:49       946924   1100084     53.74      8812    514452   2956004     95.49    643552    338572        16
08:51:50      1026532   1020476     49.85      8812    514452   2956004     95.49    564088    338572        16
08:51:51      1144020    902988     44.11      8812    514452   2956004     95.49    445852    338572        16
08:51:52      1157536    889472     43.45      8812    514452   2956004     95.49    432464    338572        16
08:51:53       952380   1094628     53.47      8812    514452   2956004     95.49    638120    338572        16
08:51:54      1009488   1037520     50.68      8812    514452   2956004     95.49    578416    338572        16
08:51:55      1153444    893564     43.65      8812    514452   2956004     95.49    436548    338572        16
08:51:56       937128   1109880     54.22      8812    514452   2956004     95.49    653240    338572        16
08:51:57      1095600    951408     46.48      8812    514452   2956004     95.49    495040    338572        16
08:51:58       951580   1095428     53.51      8812    514452   2956004     95.49    638120    338572        16
08:51:59      1089896    957112     46.76      8812    514452   2956004     95.49    500864    338572        16
08:52:00       952628   1094380     53.46      8812    514452   2956004     95.49    637780    338572        16
08:52:01      1018040   1028968     50.27      8812    514452   2956004     95.49    571740    338572        16
08:52:02      1103660    943348     46.08      8812    514452   2956004     95.49    487032    338572        16
08:52:03      1090516    956492     46.73      8812    514452   2956004     95.49    500172    338572        16
08:52:04       954060   1092948     53.39      8812    514452   2956004     95.49    635552    338572        16
08:52:05      1053440    993568     48.54      8812    514452   2956004     95.49    537196    338572        16
08:52:06      1030748   1016260     49.65      8812    514452   2956004     95.49    559904    338572        16
08:52:07      1048728    998280     48.77      8812    514452   2956004     95.49    541896    338572        16
08:52:08      1001360   1045648     51.08      8812    514452   2956004     95.49    589104    338572        16
08:52:09      1042528   1004480     49.07      8812    514452   2956004     95.49    548116    338572        16
08:52:10       981520   1065488     52.05      8812    514452   2956004     95.49    608932    338572        16
08:52:11       964476   1082532     52.88      8812    514452   2956004     95.49    623912    338572        16
08:52:12       973056   1073952     52.46      8812    514452   2956004     95.49    617352    338572        16
08:52:13      1073744    973264     47.55      8812    514452   2956004     95.49    516744    338572         8
08:52:14      1082844    964164     47.10      8812    514452   2956004     95.49    505564    338572         8
08:52:15      1076100    970908     47.43      8812    514452   2956004     95.49    511856    338572         8
08:52:16      1003560   1043448     50.97      8812    514452   2956004     95.49    586916    338572         8
08:52:17      1001700   1045308     51.07      8812    514456   2956004     95.49    588684    338576         8
08:52:18      1075452    971556     47.46      8820    514448   2956004     95.49    512496    338576         8
08:52:19       936848   1110160     54.23      8820    514456   2956004     95.49    653516    338576        24
08:52:20      1101396    945612     46.19      8820    514456   2956004     95.49    489344    338576        24
08:52:21       944288   1102720     53.87      8820    514456   2956004     95.49    646068    338576        24
08:52:22      1125328    921680     45.03      8820    514456   2956004     95.49    465448    338576        24
08:52:23       919612   1127396     55.08      8820    514456   2956004     95.49    670716    338576        24
08:52:24      1175200    871808     42.59      8820    514456   2693180     87.00    414680    338572        28
08:52:25      1175216    871792     42.59      8820    514456   2693180     87.00    414680    338572        28
08:52:26      1175216    871792     42.59      8820    514456   2693180     87.00    414680    338572        28
08:52:27      1175464    871544     42.58      8820    514456   2693180     87.00    414584    338572        28
08:52:28      1175464    871544     42.58      8820    514456   2693180     87.00    414528    338572        28
08:52:29      1175424    871584     42.58      8820    514456   2693180     87.00    414528    338572        28
08:52:30      1175464    871544     42.58      8828    514448   2693180     87.00    414496    338572        28
08:52:31      1175464    871544     42.58      8828    514456   2693180     87.00    414504    338572        28
08:52:32      1175464    871544     42.58      8828    514456   2693180     87.00    414504    338572        28
Linux 4.9.184-linuxkit (ebd7455b628a) 	02/03/20 	_x86_64_	(2 CPU)

08:54:45    kbmemfree kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
08:54:46      1175720    871288     42.56      8904    514492   2692868     86.99    414788    338604        12
08:54:47      1175720    871288     42.56      8904    514492   2692868     86.99    414788    338604        12
08:54:48      1175720    871288     42.56      8904    514492   2692868     86.99    414792    338604        12
