Linux 4.9.184-linuxkit (ebd7455b628a) 	02/03/20 	_x86_64_	(2 CPU)

06:47:22        CPU     %user     %nice   %system   %iowait    %steal     %idle
06:47:23        all      0.50      0.00      0.50      0.00      0.00     99.00
06:47:24        all      0.00      0.00      0.50      0.00      0.00     99.50
06:47:25        all      0.00      0.00      0.50      0.00      0.00     99.50
06:47:26        all      0.50      0.00      0.99      0.00      0.00     98.51
06:47:27        all      0.50      0.00      1.00      0.00      0.00     98.50
06:47:28        all      0.51      0.00      0.00      0.51      0.00     98.99
06:47:29        all      0.50      0.00      0.50      0.00      0.00     99.00
06:47:30        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:31        all      1.00      0.00      0.00      0.00      0.00     99.00
06:47:32        all      0.50      0.00      0.00      0.00      0.00     99.50
06:47:33        all      0.00      0.00      0.00      0.00      0.00    100.00
06:47:34        all      0.50      0.00      1.00      0.50      0.00     98.01
06:47:35        all      0.50      0.00      0.00      0.00      0.00     99.50

06:47:36        all      0.00      0.00      0.99      0.00      0.00     99.01
Average:        all      0.37      0.00      0.41      0.07      0.00     99.15
