Linux 4.9.184-linuxkit (ebd7455b628a) 	02/03/20 	_x86_64_	(2 CPU)

08:01:54        CPU     %user     %nice   %system   %iowait    %steal     %idle
08:01:55        all      0.00      0.00      0.00      0.00      0.00    100.00
08:01:56        all      0.50      0.00      1.00      0.00      0.00     98.50
08:01:57        all      0.00      0.00      0.51      0.00      0.00     99.49
08:01:58        all      0.00      0.00      1.51      0.00      0.00     98.49
08:01:59        all      0.00      0.00      0.51      0.00      0.00     99.49
08:02:00        all      0.00      0.00      1.00      0.00      0.00     99.00
08:02:01        all      0.00      0.00      1.01      0.50      0.00     98.49
08:02:02        all      0.00      0.00      0.00      0.00      0.00    100.00
08:02:03        all      0.50      0.00      0.50      0.00      0.00     99.00
08:02:04        all      0.50      0.00      0.50      0.00      0.00     99.00
08:02:05        all      0.00      0.00      1.00      0.00      0.00     99.00
08:02:06        all      0.00      0.00      1.99      0.00      0.00     98.01
08:02:07        all      1.01      0.00      0.50      0.00      0.00     98.49
08:02:08        all     50.25      0.00      0.00      0.00      0.00     49.75
08:02:09        all     50.25      0.00      0.00      0.00      0.00     49.75
08:02:10        all     50.25      0.00      0.00      0.00      0.00     49.75
08:02:11        all     50.00      0.00      0.00      0.00      0.00     50.00
08:02:12        all     50.00      0.00      0.00      0.00      0.00     50.00
08:02:13        all     50.25      0.00      0.00      0.00      0.00     49.75
08:02:14        all     50.25      0.00      0.00      1.00      0.00     48.76
08:02:15        all     50.00      0.00      0.00      0.00      0.00     50.00
08:02:16        all     50.00      0.00      0.50      0.00      0.00     49.50
08:02:17        all     49.00      0.00      0.50      0.00      0.00     50.50
08:02:18        all      0.00      0.00      0.00      0.00      0.00    100.00
08:02:19        all      1.00      0.00      0.00      0.00      0.00     99.00
08:02:20        all      0.50      0.00      0.00      0.00      0.00     99.50
08:02:21        all      0.51      0.00      0.51      0.00      0.00     98.98
08:02:22        all      0.00      0.00      0.51      0.00      0.00     99.49
08:02:23        all      0.50      0.00      1.00      0.00      0.00     98.50
08:02:24        all      1.00      0.00      1.00      1.00      0.00     97.00
